,Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTerm
7518,2017,451965.0,9,1,1,1,1,110.0,3,25,13,40,0,1.0,Massachusetts,MA,528.0,2.1,3.989807692307693,524.5106713467017,157.3532014040105,3.7,360
7521,2017,451965.0,9,1,1,1,1,146.0,3,13,89,35,0,1.0,Georgia,GA,548.4,2.7,3.989807692307693,696.1687092419859,238.6864145972523,4.7,360
7522,2017,451965.0,9,1,1,1,1,238.0,1,6,73,151,0,,California,CA,,2.6,3.989807692307693,1134.8503616410455,90.18678370657315,4.8,360
7526,2017,451965.0,9,1,1,1,1,116.0,3,36,119,89,0,3.0,New York,NY,,1.3,3.989807692307693,553.1203443292491,74.57802395450548,4.7,360
7528,2017,451965.0,9,1,1,1,1,132.0,3,45,67,27,0,9.0,South Carolina,SC,217.8,2.1,3.989807692307693,629.412805616042,279.7390247182409,4.3,360
7529,2017,451965.0,9,1,1,1,1,219.0,1,6,53,68,0,,California,CA,,2.6,3.989807692307693,1044.2530638629787,184.279952446408,4.8,360
7546,2017,451965.0,9,1,1,1,1,449.0,3,36,87,92,0,1.0,New York,NY,,1.3,3.989807692307693,2140.957194860628,279.2552862861689,4.7,360
7547,2017,451965.0,9,1,1,1,1,88.0,1,17,89,39,0,,Illinois,IL,815.5,1.4,3.989807692307693,419.6085370773613,129.11031910072654,5.0,360
7558,2017,451965.0,9,1,1,1,1,373.0,3,24,5,57,0,1.0,Maryland,MD,391.4,1.6,3.989807692307693,1778.568003748361,374.43536921018125,4.1,360
7561,2017,451965.0,9,1,1,1,1,43.0,1,48,181,78,0,,Texas,TX,,1.1,3.989807692307693,205.0359897082561,31.543998416654784,4.3,360
7563,2017,451965.0,9,1,1,1,1,435.0,1,6,81,107,0,,California,CA,,2.6,3.989807692307693,2074.201291234684,232.62070555903,4.8,360
7564,2017,451965.0,9,1,1,1,1,82.0,1,29,151,37,0,,Missouri,MO,310.5,1.6,3.989807692307693,390.998864094814,126.81044240912885,3.8,360
7575,2017,451965.0,9,1,1,1,1,102.0,3,48,29,50,0,2.0,Texas,TX,,1.1,3.989807692307693,486.3644407033052,116.72746576879324,4.3,360
7576,2017,451965.0,9,1,1,1,2,152.0,3,45,51,102,0,6.0,South Carolina,SC,217.8,2.1,3.989807692307693,724.7783822245333,85.26804496759215,4.3,360
7578,2017,451965.0,9,1,1,1,1,119.0,3,18,97,42,0,3.0,Indiana,IN,352.3,1.8,3.989807692307693,567.4251808205228,162.12148023443507,3.5,360
7581,2017,451965.0,9,1,1,1,1,229.0,1,6,37,80,0,,California,CA,,2.6,3.989807692307693,1091.9358521672245,163.79037782508368,4.8,360
7583,2017,451965.0,9,1,1,1,1,75.0,3,21,111,26,0,6.0,Kentucky,KY,203.2,1.6,3.989807692307693,357.6209122818421,165.05580566854252,4.9,360
7585,2017,451965.0,9,1,1,1,1,26.0,3,4,13,50,0,3.0,Arizona,AZ,314.7,2.2,3.989807692307693,123.97524959103859,29.75405990184926,4.9,360
7596,2017,451965.0,9,1,1,1,1,144.0,1,6,97,74,0,,California,CA,,2.6,3.989807692307693,686.6321515811368,111.34575431045461,4.8,360
7604,2017,451965.0,9,1,1,1,1,179.0,1,34,35,71,0,,New Jersey,NJ,600.2,1.6,3.989807692307693,853.5219106459963,144.25722433453458,4.6,360
7610,2017,451965.0,9,1,1,1,1,29.0,3,29,47,205,0,9.0,Missouri,MO,310.5,1.6,3.989807692307693,138.28008608231227,8.094444063354866,3.8,360
7612,2017,451965.0,9,1,1,1,1,342.0,1,4,13,82,0,,Arizona,AZ,314.7,2.2,3.989807692307693,1630.7513600051998,238.64654048856582,4.9,360
7614,2017,451965.0,9,1,1,1,1,109.0,3,31,109,60,0,1.0,Nebraska,NE,118.2,1.6,3.989807692307693,519.7423925162772,103.94847850325543,2.9,360
7620,2017,451965.0,9,1,1,1,1,252.0,3,16,1,144,0,3.0,Idaho,ID,69.4,2.0,3.989807692307693,1201.6062652669893,100.13385543891577,3.2,360
7627,2017,451965.0,9,1,1,1,1,114.0,3,12,9,166,0,9.0,Florida,FL,968.0,2.7,3.989807692307693,543.5837866684,39.2952134941012,4.2,360
7633,2017,451965.0,9,1,1,1,1,89.0,3,55,79,50,0,1.0,Wisconsin,WI,319.1,1.5,3.989807692307693,424.3768159077859,101.85043581786861,3.3,360
7637,2017,451965.0,9,1,1,1,1,110.0,1,4,13,64,0,,Arizona,AZ,314.7,2.2,3.989807692307693,524.5106713467017,98.34575087750656,4.9,360
7639,2017,451965.0,9,1,1,1,2,37.0,3,6,107,84,0,9.0,California,CA,,2.6,3.989807692307693,176.42631672570874,25.203759532244106,4.8,360
7658,2017,451965.0,9,1,1,1,1,167.0,3,48,113,71,0,1.0,Texas,TX,,1.1,3.989807692307693,796.3025646809017,134.5863489601524,4.3,360
7661,2017,451965.0,9,1,1,1,1,290.0,1,8,1,137,0,,Colorado,CO,335.0,2.1,3.989807692307693,1382.8008608231228,121.12124328377719,2.8,360
7662,2017,451965.0,9,1,1,1,1,302.0,1,4,3,72,0,,Arizona,AZ,314.7,2.2,3.989807692307693,1440.0202067882174,240.00336779803624,4.9,360
7671,2017,451965.0,9,1,1,1,1,168.0,1,48,469,125,0,,Texas,TX,,1.1,3.989807692307693,801.0708435113262,76.90280097708732,4.3,360
7674,2017,451965.0,9,1,1,1,1,400.0,1,6,1,131,0,,California,CA,,2.6,3.989807692307693,1907.3115321698242,174.71556019876255,4.8,360
7684,2017,451965.0,9,1,1,1,2,40.0,3,51,840,58,0,1.0,Virginia,VA,509.6,1.2,3.989807692307693,190.73115321698245,39.46161790696189,3.8,360
7685,2017,451965.0,9,1,1,1,1,236.0,1,35,13,112,0,,New Mexico,NM,94.8,0.6,3.989807692307693,1125.3138039801963,120.56933614073532,6.2,360
7714,2017,451965.0,9,1,1,1,1,235.0,1,51,810,118,0,,Virginia,VA,509.6,1.2,3.989807692307693,1120.545525149772,113.95378221862087,3.8,360
7717,2017,451965.0,9,1,1,1,1,269.0,3,8,5,100,0,3.0,Colorado,CO,335.0,2.1,3.989807692307693,1282.667005384207,153.92004064610484,2.8,360
7719,2017,451965.0,9,1,1,1,1,54.0,1,19,153,42,0,,Iowa,IA,183.3,1.4,3.989807692307693,257.4870568429263,73.56773052655036,3.1,360
7723,2017,451965.0,9,1,1,1,1,57.0,1,39,95,86,0,,Ohio,OH,646.5,1.9,3.989807692307693,271.7918933342,37.924450232679064,5.0,360
7728,2017,451965.0,9,1,1,1,1,95.0,1,4,13,50,0,,Arizona,AZ,314.7,2.2,3.989807692307693,452.9864888903333,108.71675733367998,4.9,360
7730,2017,451965.0,9,1,1,1,2,43.0,1,37,119,95,0,,North Carolina,NC,537.0,1.9,3.989807692307693,205.0359897082561,25.899282910516558,4.6,360
7734,2017,451965.0,9,1,1,1,2,98.0,1,49,21,210,0,,Utah,UT,163.3,2.7,3.989807692307693,467.29132538160695,26.70236145037754,3.2,360
7737,2017,451965.0,9,1,1,1,1,153.0,1,26,163,62,0,,Michigan,MI,504.9,2.0,3.989807692307693,729.5466610549578,141.2025795590241,4.6,360
7745,2017,451965.0,9,1,1,1,2,291.0,3,25,17,240,0,9.0,Massachusetts,MA,528.0,2.1,3.989807692307693,1387.5691396535472,69.37845698267736,3.7,360
7747,2017,451965.0,9,1,1,1,1,98.0,3,37,45,120,0,9.0,North Carolina,NC,537.0,1.9,3.989807692307693,467.29132538160695,46.7291325381607,4.6,360
7749,2017,451965.0,9,1,1,1,1,220.0,3,49,37,125,0,3.0,Utah,UT,163.3,2.7,3.989807692307693,1049.0213426934033,100.70604889856672,3.2,360
7750,2017,451965.0,9,1,1,1,1,98.0,3,37,45,57,0,3.0,North Carolina,NC,537.0,1.9,3.989807692307693,467.29132538160695,98.37712113296989,4.6,360
7764,2017,451965.0,9,1,1,1,1,156.0,3,27,147,117,0,1.0,Minnesota,MN,345.3,1.7,3.989807692307693,743.8514975462315,76.29246128679297,3.5,360
7765,2017,451965.0,9,1,1,1,1,92.0,3,20,91,33,0,3.0,Kansas,KS,156.4,1.0,3.989807692307693,438.6816523990596,159.5206008723853,3.6,360
7779,2017,451965.0,9,1,1,1,1,45.0,3,37,71,30,0,9.0,North Carolina,NC,537.0,1.9,3.989807692307693,214.57254736910525,85.8290189476421,4.6,360
7781,2017,451965.0,9,1,1,1,1,126.0,3,37,45,49,0,3.0,North Carolina,NC,537.0,1.9,3.989807692307693,600.8031326334947,147.13546105310076,4.6,360
7795,2017,451965.0,9,1,1,1,1,112.0,1,27,171,40,0,,Minnesota,MN,345.3,1.7,3.989807692307693,534.0472290075508,160.21416870226523,3.5,360
7801,2017,451965.0,9,1,1,1,1,147.0,3,17,111,52,0,1.0,Illinois,IL,815.5,1.4,3.989807692307693,700.9369880724105,161.75468955517167,5.0,360
7803,2017,451965.0,9,1,1,1,1,186.0,1,55,85,59,0,,Wisconsin,WI,319.1,1.5,3.989807692307693,886.8998624589683,180.38641270351897,3.3,360
7812,2017,451965.0,9,1,1,1,1,77.0,3,48,61,58,0,1.0,Texas,TX,,1.1,3.989807692307693,367.1574699426912,75.96361447090163,4.3,360
7821,2017,451965.0,9,1,1,1,1,287.0,1,42,1,132,0,,Pennsylvania,PA,746.0,1.5,3.989807692307693,1368.496024331849,124.40872948471355,4.9,360
7825,2017,451965.0,9,1,1,1,1,374.0,3,6,13,77,0,3.0,California,CA,,2.6,3.989807692307693,1783.3362825787858,277.9225375447458,4.8,360
7838,2017,451965.0,9,1,1,1,1,226.0,3,48,121,174,0,9.0,Texas,TX,,1.1,3.989807692307693,1077.6310156759507,74.31938039144488,4.3,360
7840,2017,451965.0,9,1,1,1,1,616.0,3,6,87,118,0,1.0,California,CA,,2.6,3.989807692307693,2937.2597595415295,298.70438232625725,4.8,360
7842,2017,451965.0,9,1,1,1,1,270.0,1,6,37,202,0,,California,CA,,2.6,3.989807692307693,1287.4352842146313,76.48130401275039,4.8,360
7847,2017,451965.0,9,1,1,1,1,207.0,1,42,29,92,0,,Pennsylvania,PA,746.0,1.5,3.989807692307693,987.033717897884,128.74352842146314,4.9,360
7852,2017,451965.0,9,1,1,1,1,753.0,1,6,37,325,0,,California,CA,,2.6,3.989807692307693,3590.513959309694,132.57282311297334,4.8,360
7871,2017,451965.0,9,1,1,1,1,209.0,1,8,35,196,0,,Colorado,CO,335.0,2.1,3.989807692307693,996.5702755587332,61.01450666686122,2.8,360
7873,2017,451965.0,9,1,1,1,1,242.0,1,21,111,103,0,,Kentucky,KY,203.2,1.6,3.989807692307693,1153.9234769627437,134.43768663643615,4.9,360
7887,2017,451965.0,9,1,1,1,1,137.0,3,12,86,76,0,9.0,Florida,FL,968.0,2.7,3.989807692307693,653.2541997681648,103.14539996339444,4.2,360
7888,2017,451965.0,9,1,1,1,1,56.0,3,37,19,22,0,1.0,North Carolina,NC,537.0,1.9,3.989807692307693,267.0236145037754,145.64924427478658,4.6,360
7896,2017,451965.0,9,1,1,1,1,56.0,3,28,145,29,0,3.0,Mississippi,MS,110.4,1.3,3.989807692307693,267.0236145037754,110.49253013949327,5.1,360
7899,2017,451965.0,9,1,1,1,1,185.0,1,4,19,44,0,,Arizona,AZ,314.7,2.2,3.989807692307693,882.1315836285437,240.58134098960284,4.9,360
7901,2017,451965.0,9,1,1,1,1,56.0,3,8,1,26,0,3.0,Colorado,CO,335.0,2.1,3.989807692307693,267.0236145037754,123.24166823251173,2.8,360
7911,2017,451965.0,9,1,1,1,1,162.0,3,28,23,24,0,1.0,Mississippi,MS,110.4,1.3,3.989807692307693,772.4611705287788,386.2305852643894,5.1,360
7920,2017,451965.0,9,1,1,1,1,136.0,3,18,105,25,0,1.0,Indiana,IN,352.3,1.8,3.989807692307693,648.4859209377403,311.2732420501153,3.5,360
7923,2017,451965.0,9,1,1,1,1,288.0,1,6,41,90,0,,California,CA,,2.6,3.989807692307693,1373.2643031622736,183.10190708830314,4.8,360
7941,2017,451965.0,9,1,1,1,1,46.0,1,27,25,36,0,,Minnesota,MN,345.3,1.7,3.989807692307693,219.3408261995298,73.1136087331766,3.5,360
7950,2017,451965.0,9,1,1,1,1,236.0,3,27,163,60,0,1.0,Minnesota,MN,345.3,1.7,3.989807692307693,1125.3138039801963,225.06276079603927,3.5,360
7959,2017,451965.0,9,1,1,1,1,147.0,1,2,20,99,0,,Alaska,AK,50.1,-1.9,3.989807692307693,700.9369880724105,84.96205916029218,7.2,360
